PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/11 15:00,PLMN,N117,100,99.8947,99.8087,99.848,99.1026,99.9764,96.4286,961.854,119.4638,617.9459,2731.5,3417.3,0.3052,0.5703,0.392,0.3588,4463.2233,283.7126,100,3.6737,0.0803,0.0446,0.0826,0.31
2/11 15:00,PLMN,N118,100,99.8381,99.7636,99.8193,99.172,99.9767,98.0263,1147.1554,167.9031,856.891,4396.9,5399.9,0.3586,0.6871,0.5032,0.4286,3833.1235,311.0235,99.8012,3.0788,0.098,0.0634,0.0472,0.36
2/11 15:00,PLMN,N119,99.997,99.8122,99.7863,99.826,98.9828,99.958,97.6359,609.9601,122.5443,767.7347,4352.9,5223.9,0.3756,0.8481,0.4675,0.4202,4451.3079,342.9224,100,3.2453,0.1136,0.0612,2.1675,0.39
2/11 15:00,PLMN,N120,100,99.8598,99.8185,99.8545,98.9881,99.9758,97.6471,529.1829,100.1429,701.2299,3470.8,4226.6,0.2706,0.6343,0.4049,0.3663,4678.9978,303.978,100,3.6512,0.1051,0.0536,0.3272,0.32
2/11 15:00,PLMN,N121,99.9995,99.8239,99.7577,99.8073,99.0574,99.9584,97.5,960.2193,114.307,693.5095,2415.7,2964.9,0.5167,0.8697,0.5745,0.5425,4422.0638,219.747,99.5575,5.0054,0.1254,0.0567,0.6362,0.47
2/11 15:00,PLMN,N122,100,99.8623,99.8584,99.8875,99.0986,99.9761,100,900.8284,92.6265,576.0566,2501.1,3164.1,0.2897,0.5213,0.401,0.3592,4380.8306,218.8012,100,2.6541,0.0967,0.039,0.0713,0.36
2/11 15:00,PLMN,N123,99.9987,99.8467,99.8068,99.851,99.0058,99.9748,97.3958,551.1595,114.841,741.1704,3974.7,4826.1,0.3208,0.6095,0.3853,0.3563,4550.9024,323.6548,100,2.7401,0.1122,0.0524,1.4208,0.34
2/11 15:00,PLMN,N124,99.9996,99.8166,99.7366,99.7786,99.0045,99.968,95.3795,883.7005,164.2256,921.958,4022.3,4907.8,0.4182,0.8039,0.4409,0.4201,4092.2207,311.9378,100,1.6555,0.3651,0.3562,0.5072,0.4
2/11 15:00,PLMN,N357,100,100,99.6251,99.6647,99.1022,99.9336,100,6.5982,5.6462,53.9855,3244.6,3686.4,0.3289,3.9735,0.3878,0.4076,6552.6348,244.2413,100,1.208,0.0301,0.0206,,1.72
2/11 15:00,PLMN,N403,100,99.8567,99.8308,99.8558,99.0006,99.9736,98.5507,321.0691,122.9239,882.7924,4956.5,5884.8,0.2304,1.1176,0.3393,0.3465,4487.7526,348.0978,100,3.2919,0.1504,0.0899,0.8521,0.49
